"","URL","CollegeName","TuitionFeesThousands","RoomBoardThousands","TotalEnrollment","SchoolType","YearFounded","Setting","Endowment2017Millions","MedianStartingSalaryOfAlumniThousands","Selectivity","Fall2017AcceptanceRate","MalePercentage","FourYearGraduationRate","TotalCostThousands"
"34","https://www.usnews.com/best-colleges/university-of-rochester-2894","University of Rochester",53.926,15.938,11648,"Private, Coed",1850,"Suburban",2100,54.6,"More selective",0.34,0.5,0.77,69.864
"35","https://www.usnews.com/best-colleges/brandeis-university-2133","Brandeis University",55.395,15.44,5722,"Private, Coed",1948,"Suburban",976.9,52.9,"Most selective",0.34,0.41,0.83,70.835
"36","https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569","Georgia Institute of Technology",33.02,14.596,29376,"Public, Coed",1885,"Urban",2000,68.1,"Most selective",0.23,0.62,0.39,47.616
"37","https://www.usnews.com/best-colleges/university-of-florida-1535","University of Florida",28.658,10.12,52669,"Public, Coed",1853,"Suburban",1600,52.8,"Most selective",0.42,0.44,0.68,38.778
"38","https://www.usnews.com/best-colleges/boston-college-2128","Boston College",55.464,14.478,13996,"Private, Coed",1863,"Suburban",2300,57.9,"Most selective",0.32,0.47,0.88,69.942
"39","https://www.usnews.com/best-colleges/william-and-mary-3705","College of William and Mary",44.701,12.236,8740,"Public, Coed",1693,"Suburban",874.1,53.4,"Most selective",0.36,0.42,0.85,56.937
"40","https://www.usnews.com/best-colleges/university-of-california-san-diego-1317","University of California--San Diego",42.074,13.733,35772,"Public, Coed",1960,"Urban",1400,58,"Most selective",0.34,0.51,0.55,55.807
"41","https://www.usnews.com/best-colleges/boston-university-2130","Boston University",53.948,15.72,33355,"Private, Coed",1839,"Urban",2000,55.2,"Most selective",0.25,0.4,0.81,69.668
"42","https://www.usnews.com/best-colleges/case-western-reserve-university-3024","Case Western Reserve University",49.042,15.19,11824,"Private, Coed",1826,"Urban",1800,63,"Most selective",0.33,0.55,0.66,64.232
"43","https://www.usnews.com/best-colleges/northeastern-university-2199","Northeastern University",51.387,16.88,21489,"Private, Coed",1898,"Urban",795.9,60.1,"Most selective",0.27,0.49,0,68.267
"44","https://www.usnews.com/best-colleges/tulane-university-2029","Tulane University",54.82,15.19,11248,"Private, Coed",1834,"Urban",1300,50.2,"Most selective",0.21,0.41,0.73,70.01
"45","https://www.usnews.com/best-colleges/pepperdine-university-1264","Pepperdine University",53.932,15.32,7710,"Private, Coed",1937,"Suburban",860.3,52.2,"More selective",0.4,0.41,0.77,69.252
"46","https://www.usnews.com/best-colleges/university-of-georgia-1598","University of Georgia",30.404,10.038,37606,"Public, Coed",1785,"City",1200,49.9,"More selective",0.54,0.43,0.63,40.442
"47","https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775","University of Illinois--Urbana-Champaign",32.568,11.308,48216,"Public, Coed",1867,"City",1800,59.9,"More selective",0.62,0.55,0.7,43.876
"48","https://www.usnews.com/best-colleges/rpi-2803","Rensselaer Polytechnic Institute",53.88,15.26,7633,"Private, Coed",1824,"Suburban",674.3,68.4,"More selective",0.43,0.68,0.61,69.14
"49","https://www.usnews.com/best-colleges/university-of-texas-3658","University of Texas--Austin",37.48,10.804,51525,"Public, Coed",1883,"Urban",3700,56.8,"More selective",0.36,0.47,0.58,48.284
"50","https://www.usnews.com/best-colleges/university-of-wisconsin-3895","University of Wisconsin--Madison",36.805,11.114,43820,"Public, Coed",1848,"City",3800,53.7,"More selective",0.54,0.49,0.61,47.919
